861077692,147,2,道東あさひ西春別支所,H28.4.26,2.1,7769,,H30.3.27,H30.4.26,H30.5.17,21,H30.5.3,H29.7.24,7.1,3.4,7.7,135,75,26,10.4,4.8,61,121,454,702.6
864141871,59,2,根室市場,2016/03/24,2,4187,A,H30.2.22,H30.5.14,H30.3.26,-49,H30.5.18,H29.8.8,7.4,3.7,11.7,68,68,21,10.4,6.1,76,137,68.8,381
864141871,59,2,釧路市場,H28.3.24,2.3,4187,,H30.2.22,H30.5.14,H30.7.19,66,H30.5.18,H29.8.8,7.5,3.9,15.6,175,78,36,11.2,6.2,63,199,193,516.3
864141871,59,2,釧路市場,H28.3.24,2.6,4187,,H30.2.22,H30.5.14,H30.10.18,157,H30.5.18,H29.8.8,8,3.6,8.8,200,65,40,10.1,5.3,67,40,,
864142588,60,2,根室市場,2016/06/23,1.8,4258,A,H30.2.22,H30.5.7,H30.3.26,-42,H30.5.14,H29.8.4,6.4,3.3,13.1,49,62,20,10.2,8.2,74,140,111,394
864142588,60,2,釧路市場,H28.6.23,1.9,4258,,H30.2.22,H30.5.7,H30.5.17,10,H30.5.14,H29.8.4,6.9,3.2,6.2,68,97,27,10.5,4.9,58,163,672,485.6
864142588,60,2,根室市場,2016/06/23,2.1,4258,A,H30.2.22,H30.5.7,H30.7.19,73,H30.5.14,H29.8.4,7.7,3.6,13.1,186,73,34,10.6,7.9,50,152,267,334.7
864142588,60,2,釧路市場,H28.6.23,2.1,4258,,H30.2.22,H30.5.7,H30.8.16,101,H30.5.14,H29.8.4,8.6,3.2,7.8,195,75,37,9.7,7.1,62,149,192,397.8
864142588,60,2,釧路市場,H28.6.23,2.2,4258,,H30.2.22,H30.5.7,H30.9.20,136,H30.5.14,H29.8.4,7.8,3.2,9,229,69,35,10.2,6.4,66,100,138,361.9
864142588,60,2,釧路市場,H28.6.23,2.3,4258,,H30.2.22,H30.5.7,H30.10.18,164,H30.5.14,H29.8.4,7.9,3.5,8.5,284,75,36,10.3,5.9,66,40,,
